combustible,transmision_automatica,transmision_automatica_secuencial,transmision_mecanica,anio,precio,kilometraje
0.0,1.0,0.0,0.0,2.026,3.299,0.02244
0.0,1.0,0.0,0.0,2.022,3.29,0.14393
0.0,1.0,0.0,0.0,2.024,1.89,0.18092
0.0,0.0,1.0,0.0,2.024,2.899,0.123
0.0,1.0,0.0,0.0,2.025,2.599,0.00027
0.0,1.0,0.0,0.0,2.024,1.99,0.16966
0.0,0.0,1.0,0.0,2.021,3.69,0.15
0.0,1.0,0.0,0.0,2.017,1.699,0.685
0.0,0.0,1.0,0.0,2.018,2.49,0.69723
0.0,1.0,0.0,0.0,2.022,2.59,0.69693
0.0,1.0,0.0,0.0,2.019,2.799,0.55738
0.0,0.0,1.0,0.0,2.018,1.85,0.71
0.0,0.0,1.0,0.0,2.019,3.39,0.82295
0.0,1.0,0.0,0.0,2.019,2.25,0.40962
0.0,0.0,1.0,0.0,2.021,2.89,0.51
1.0,1.0,0.0,0.0,2.023,3.949,0.18
0.0,1.0,0.0,0.0,2.025,3.69,0.1545
0.0,0.0,0.0,1.0,2.023,1.199,0.31267
0.0,0.0,1.0,0.0,2.013,2.3,1.08
0.0,1.0,0.0,0.0,2.024,2.1,0.41473
0.0,1.0,0.0,0.0,2.022,2.25,0.18815
0.0,1.0,0.0,0.0,2.02,1.95,0.57557
0.0,0.0,0.0,1.0,2.023,1.89,0.56705
0.0,0.0,1.0,0.0,2.019,3.89,0.86895
1.0,0.0,1.0,0.0,2.024,2.649,0.48955
0.0,1.0,0.0,0.0,2.023,2.59,0.25
0.0,1.0,0.0,0.0,2.019,1.25,0.9021
0.0,0.0,1.0,0.0,2.012,1.89,1.03216
0.0,1.0,0.0,0.0,2.018,1.499,0.285
0.0,1.0,0.0,0.0,2.022,2.1,0.45203
0.0,0.0,1.0,0.0,2.019,3.29,0.6999
0.0,1.0,0.0,0.0,2.013,1.99,0.67239
0.0,1.0,0.0,0.0,2.012,1.29,1.13567
0.0,1.0,0.0,0.0,2.019,2.69,1.19786
1.0,0.0,0.0,1.0,2.023,2.599,0.00033
0.0,1.0,0.0,0.0,2.013,2.39,0.78702
0.0,1.0,0.0,0.0,2.025,3.09,0.10874
0.0,1.0,0.0,0.0,2.023,1.849,0.06187
0.0,0.0,1.0,0.0,2.025,2.75,0.00285
1.0,0.0,0.0,1.0,2.022,1.95,0.748
0.0,1.0,0.0,0.0,2.017,1.99,0.30433
0.0,1.0,0.0,0.0,2.018,2.49,0.97386
0.0,0.0,1.0,0.0,2.019,3.49,0.559
1.0,0.0,0.0,1.0,2.021,3.6,0.62121
0.0,0.0,1.0,0.0,2.017,1.69,0.85417
0.0,0.0,1.0,0.0,2.015,2.35,0.69513
1.0,1.0,0.0,0.0,2.024,3.099,0.26
0.0,1.0,0.0,0.0,2.012,4.0,0.21082
0.0,1.0,0.0,0.0,2.021,1.79,0.29
0.0,1.0,0.0,0.0,2.014,1.55,0.91886
0.0,1.0,0.0,0.0,2.023,3.45,0.29599
0.0,1.0,0.0,0.0,2.025,2.5,0.08969
1.0,0.0,0.0,1.0,2.021,2.6,1.37211
0.0,1.0,0.0,0.0,2.021,4.23,0.6646
0.0,1.0,0.0,0.0,2.023,2.05,0.224
0.0,1.0,0.0,0.0,2.02,1.39,0.9604
1.0,1.0,0.0,0.0,2.024,4.2991,0.15359
0.0,1.0,0.0,0.0,2.019,1.75,0.67814
0.0,1.0,0.0,0.0,2.024,3.59,0.29999
0.0,1.0,0.0,0.0,2.025,2.6,0.0807
0.0,1.0,0.0,0.0,2.02,1.85,0.71459
0.0,1.0,0.0,0.0,2.022,1.95,0.68224
