anio,precio,kilometraje,transmision,combustible
2017.0,30900.0,74158.0,Automática,Gasolina
2016.0,17900.0,51380.0,Automática - Secuencial,Gasolina
2019.0,32900.0,51333.0,Automática,Gasolina
2022.0,22900.0,35500.0,Automática,Gasolina
2019.0,20990.0,51800.0,Automática,Gasolina
2023.0,28900.0,48084.0,Automática,Otros
2022.0,26900.0,37851.0,Automática - Secuencial,Gasolina
2017.0,17900.0,86559.0,Automática,Gasolina
2014.0,12500.0,100795.0,Automática,Gasolina
2026.0,32490.0,1900.0,Mecánica,Otros
2022.0,24900.0,53300.0,Automática,Gasolina
2016.0,9990.0,56000.0,Mecánica,Gasolina
2026.0,32990.0,2244.0,Automática,Gasolina
2022.0,32900.0,14393.0,Automática,Gasolina
2024.0,18900.0,18092.0,Automática,Gasolina
2024.0,28990.0,12300.0,Automática - Secuencial,Gasolina
2025.0,25990.0,27.0,Automática,Gasolina
2024.0,19900.0,16966.0,Automática,Gasolina
2021.0,36900.0,15000.0,Automática - Secuencial,Gasolina
2017.0,16990.0,68500.0,Automática,Gasolina
2018.0,24900.0,69723.0,Automática - Secuencial,Gasolina
2022.0,25900.0,69693.0,Automática,Gasolina
2019.0,27990.0,55738.0,Automática,Gasolina
2018.0,18500.0,71000.0,Automática - Secuencial,Gasolina
2019.0,33900.0,82295.0,Automática - Secuencial,Gasolina
2019.0,22500.0,40962.0,Automática,Gasolina
2021.0,28900.0,51000.0,Automática - Secuencial,Gasolina
2023.0,39490.0,18000.0,Automática,Otros
2025.0,36900.0,15450.0,Automática,Gasolina
2023.0,11990.0,31267.0,Mecánica,Gasolina
2013.0,23000.0,108000.0,Automática - Secuencial,Gasolina
2024.0,21000.0,41473.0,Automática,Gasolina
2022.0,22500.0,18815.0,Automática,Gasolina
2020.0,19500.0,57557.0,Automática,Gasolina
2023.0,18900.0,56705.0,Mecánica,Gasolina
2019.0,38900.0,86895.0,Automática - Secuencial,Gasolina
2024.0,26490.0,48955.0,Automática - Secuencial,Otros
2023.0,25900.0,25000.0,Automática,Gasolina
2019.0,12500.0,90210.0,Automática,Gasolina
2012.0,18900.0,103216.0,Automática - Secuencial,Gasolina
2018.0,14990.0,28500.0,Automática,Gasolina
2022.0,21000.0,45203.0,Automática,Gasolina
2019.0,32900.0,69990.0,Automática - Secuencial,Gasolina
2013.0,19900.0,67239.0,Automática,Gasolina
2012.0,12900.0,113567.0,Automática,Gasolina
2019.0,26900.0,119786.0,Automática,Gasolina
2023.0,25990.0,33.0,Mecánica,Otros
2013.0,23900.0,78702.0,Automática,Gasolina
2025.0,30900.0,10874.0,Automática,Gasolina
2023.0,18490.0,6187.0,Automática,Gasolina
2025.0,27500.0,285.0,Automática - Secuencial,Gasolina
2022.0,19500.0,74800.0,Mecánica,Otros
2017.0,19900.0,30433.0,Automática,Gasolina
2018.0,24900.0,97386.0,Automática,Gasolina
2019.0,34900.0,55900.0,Automática - Secuencial,Gasolina
2021.0,36000.0,62121.0,Mecánica,Otros
2017.0,16900.0,85417.0,Automática - Secuencial,Gasolina
2015.0,23500.0,69513.0,Automática - Secuencial,Gasolina
2024.0,30990.0,26000.0,Automática,Otros
2012.0,40000.0,21082.0,Automática,Gasolina
2021.0,17900.0,29000.0,Automática,Gasolina
2014.0,15500.0,91886.0,Automática,Gasolina
2023.0,34500.0,29599.0,Automática,Gasolina
2025.0,25000.0,8969.0,Automática,Gasolina
2021.0,26000.0,137211.0,Mecánica,Otros
2021.0,42300.0,66460.0,Automática,Gasolina
2023.0,20500.0,22400.0,Automática,Gasolina
2020.0,13900.0,96040.0,Automática,Gasolina
2024.0,42991.0,15359.0,Automática,Otros
2019.0,17500.0,67814.0,Automática,Gasolina
2024.0,35900.0,29999.0,Automática,Gasolina
2025.0,26000.0,8070.0,Automática,Gasolina
2020.0,18500.0,71459.0,Automática,Gasolina
2022.0,19500.0,68224.0,Automática,Gasolina
2024.0,30990.0,16000.0,Automática,Otros
2020.0,21490.0,72000.0,Automática - Secuencial,Gasolina
2019.0,16300.0,90650.0,Automática,Gasolina
2024.0,23000.0,12557.0,Automática,Gasolina
2024.0,21990.0,7690.0,Automática - Secuencial,Gasolina
2025.0,17500.0,3394.0,Mecánica,Gasolina
2021.0,27900.0,44610.0,Automática,Gasolina
2025.0,18290.0,20.0,Mecánica,Otros
2018.0,14900.0,63130.0,Automática,Gasolina
2023.0,29991.0,18084.0,Automática,Otros
2024.0,16000.0,6160.0,Mecánica,Otros
2013.0,13900.0,89678.0,Automática,Gasolina
2022.0,19990.0,40700.0,Automática,Gasolina
2021.0,12000.0,60953.0,Automática,Gasolina
2024.0,19990.0,16000.0,Automática,Gasolina
2019.0,16000.0,52000.0,Automática,Gasolina
2013.0,8500.0,113929.0,Automática,Gasolina
2025.0,13000.0,710.0,Automática,Gasolina
2023.0,38900.0,31800.0,Automática - Secuencial,Gasolina
2023.0,25300.0,86813.0,Mecánica,Otros
2020.0,33000.0,84065.0,Automática,Gasolina
2024.0,32991.0,13762.0,Automática,Otros
2021.0,18500.0,56497.0,Automática,Otros
2023.0,13000.0,99801.0,Mecánica,Gasolina
2024.0,44500.0,744.0,Automática,Otros
2018.0,12900.0,90017.0,Automática,Gasolina
2012.0,13900.0,32226.0,Automática,Gasolina
2024.0,32991.0,3431.0,Automática,Otros
2023.0,23490.0,10500.0,Automática - Secuencial,Gasolina
2023.0,15500.0,1751.0,Automática,Otros
2025.0,16500.0,82831.0,Mecánica,Gasolina
2026.0,29900.0,9029.0,Automática,Gasolina
2025.0,43991.0,259.0,Automática,Otros
2020.0,39900.0,79865.0,Automática,Gasolina
2022.0,34000.0,48360.0,Automática,Gasolina
2024.0,28490.0,17000.0,Automática - Secuencial,Gasolina
2024.0,17500.0,27.0,Automática,Otros
2020.0,21900.0,116096.0,Mecánica,Otros
2021.0,32900.0,71665.0,Automática,Gasolina
2026.0,32490.0,250.0,Mecánica,Otros
2020.0,25000.0,94841.0,Automática,Gasolina
2022.0,25000.0,61155.0,Automática,Otros
2022.0,18600.0,86743.0,Automática - Secuencial,Otros
2022.0,25000.0,73730.0,Automática,Otros
2022.0,21000.0,61285.0,Automática,Otros
2023.0,35991.0,13649.0,Automática,Gasolina
2023.0,40900.0,45181.0,Mecánica,Otros
2023.0,29500.0,30566.0,Automática - Secuencial,Gasolina
2021.0,21500.0,56409.0,Automática,Gasolina
2023.0,19900.0,32215.0,Automática,Gasolina
2017.0,20900.0,91500.0,Automática - Secuencial,Gasolina
2024.0,18300.0,49080.0,Automática,Gasolina
2021.0,14290.0,51000.0,Mecánica,Otros
2023.0,30900.0,5019.0,Automática,Gasolina
2020.0,19500.0,54642.0,Automática,Gasolina
2022.0,21000.0,56378.0,Automática - Secuencial,Otros
2020.0,33900.0,52081.0,Automática,Otros
2017.0,8900.0,88100.0,Automática - Secuencial,Gasolina
2020.0,21500.0,96579.0,Mecánica,Otros
2013.0,19800.0,106253.0,Automática,Otros
2008.0,9000.0,1600.0,Automática,Gasolina
2018.0,16500.0,60824.0,Automática,Gasolina
2024.0,24000.0,13567.0,Automática,Otros
2023.0,9300.0,102000.0,Mecánica,Gasolina
2019.0,20900.0,49000.0,Automática - Secuencial,Gasolina
2014.0,13400.0,86000.0,Automática - Secuencial,Gasolina
2012.0,7099.0,98000.0,Mecánica,Otros
2017.0,21500.0,57500.0,Automática - Secuencial,Gasolina
2026.0,35000.0,2500.0,Automática - Secuencial,Gasolina
2024.0,21500.0,50000.0,Automática - Secuencial,Gasolina
2020.0,42500.0,30970.0,Automática,Gasolina
2022.0,22000.0,76000.0,Mecánica,Otros
2019.0,9000.0,90000.0,Mecánica,Gasolina
2023.0,18600.0,26000.0,Automática - Secuencial,Otros
2020.0,29800.0,74000.0,Automática,Gasolina
2017.0,18900.0,48600.0,Automática - Secuencial,Gasolina
2022.0,38700.0,16600.0,Automática - Secuencial,Gasolina
2019.0,31500.0,8000.0,Automática,Gasolina
2021.0,22000.0,32000.0,Automática - Secuencial,Otros
2013.0,15000.0,95000.0,Automática - Secuencial,Gasolina
2011.0,15200.0,143000.0,Automática - Secuencial,Gasolina
2020.0,35900.0,55000.0,Automática - Secuencial,Gasolina
2022.0,22000.0,42500.0,Automática - Secuencial,Gasolina
2017.0,26000.0,82000.0,Automática - Secuencial,Gasolina
2022.0,38700.0,9072.0,Automática,Otros
2018.0,30700.0,99700.0,Automática - Secuencial,Gasolina
2017.0,23500.0,145000.0,Automática - Secuencial,Gasolina
2025.0,30000.0,6000.0,Automática,Gasolina
2013.0,29500.0,81000.0,Automática - Secuencial,Gasolina
2021.0,35000.0,49000.0,Automática - Secuencial,Gasolina
2019.0,27900.0,66.0,Automática - Secuencial,Gasolina
2019.0,36000.0,35000.0,Automática - Secuencial,Gasolina
2012.0,12500.0,99000.0,Automática,Gasolina
2015.0,20000.0,60440.0,Mecánica,Gasolina
2019.0,25500.0,41000.0,Automática - Secuencial,Gasolina
2024.0,23000.0,32201.0,Automática,Otros
2024.0,14000.0,59000.0,Automática - Secuencial,Otros
2018.0,29000.0,44550.0,Automática,Gasolina
2018.0,24900.0,65453.0,Automática - Secuencial,Gasolina
2015.0,15500.0,83000.0,Automática,Gasolina
2014.0,19800.0,161000.0,Automática - Secuencial,Otros
2015.0,17300.0,120000.0,Automática - Secuencial,Gasolina
2019.0,10500.0,25722.0,Mecánica,Gasolina
2022.0,16800.0,50250.0,Automática,Gasolina
2023.0,42990.0,29100.0,Automática - Secuencial,Gasolina
2019.0,14100.0,96250.0,Mecánica,Gasolina
2016.0,10500.0,58000.0,Automática,Gasolina
2024.0,20500.0,6698.0,Automática,Gasolina
2020.0,21600.0,35000.0,Automática - Secuencial,Gasolina
2025.0,27500.0,6300.0,Automática,Gasolina
2025.0,16750.0,1100.0,Automática,Gasolina
2022.0,17500.0,55000.0,Automática,Gasolina
2018.0,19900.0,65000.0,Automática - Secuencial,Gasolina
2018.0,9850.0,87500.0,Mecánica,Otros
2012.0,13000.0,121000.0,Automática - Secuencial,Gasolina
2023.0,21900.0,14400.0,Automática,Gasolina
2019.0,31500.0,22610.0,Automática,Gasolina
2018.0,17300.0,76000.0,Automática,Gasolina
2013.0,20900.0,112000.0,Automática - Secuencial,Gasolina
2016.0,23500.0,94000.0,Automática,Gasolina
2020.0,26500.0,70000.0,Automática - Secuencial,Gasolina
