url_anuncio,imagen_auto,marca,titulo,anio,precio,kilometraje,transmision,combustible
https://neoauto.com/auto/seminuevo/nissan-kicks-2022-1868678,https://cdn.neoauto.com/elements/autos_usados/360x240/752061/752061_7402172.webp,Nissan,Nissan Kicks 2022,2022,"US$16,990","69,700 km",Mecánica,Gasolina
https://neoauto.com/auto/seminuevo/audi-q3-2020-1861490,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_5914814.webp,Audi,Audi Q3 2020,2020,"US$25,900","85,464 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/hyundai-kona-2025-1867344,https://cdn.neoauto.com/elements/autos_usados/360x240/337014/337014_1316864.webp,Hyundai,Hyundai Kona 2025,2025,"US$25,990",15 km,Automática,Gasolina
https://neoauto.com/auto/seminuevo/subaru-crosstrek-2024-1866895,https://cdn.neoauto.com/elements/autos_usados/360x240/463366/463366_9847971.webp,Subaru,Subaru Crosstrek 2024,2024,"US$28,500","41,300 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/audi-s6-2016-1864781,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_6655195.webp,Audi,Audi S6 2016,2016,"US$33,000","58,694 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/jeep-compass-2025-1854333,https://cdn.neoauto.com/elements/autos_usados/360x240/747531/747531_9709647.webp,Jeep,Jeep Compass 2025,2025,"US$32,500","7,000 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/mazda-3-2015-1864539,https://cdn.neoauto.com/elements/autos_usados/360x240/714661/714661_7031376.webp,Mazda,Mazda 3 2015,2015,"US$13,900","78,730 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/jac-refine-2023-1865025,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_9300084.webp,JAC,Jac Refine 2023,2023,"US$16,900","49,774 km",Mecánica,Gasolina
https://neoauto.com/auto/seminuevo/subaru-crosstrek-2025-1864706,https://cdn.neoauto.com/elements/autos_usados/360x240/490916/490916_4623224.webp,Subaru,Subaru Crosstrek 2025,2025,"US$29,900","20,500 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/volkswagen-saveiro-2022-1868453,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_5847249.webp,Volkswagen,Volkswagen Saveiro 2022,2022,"US$13,900","50,675 km",Mecánica,Gasolina
https://neoauto.com/auto/seminuevo/hyundai-creta-2023-1868969,https://cdn.neoauto.com/elements/autos_usados/360x240/470963/470963_3441242.webp,Hyundai,Hyundai Creta 2023,2023,"US$18,490","32,000 km",Mecánica,Gasolina
https://neoauto.com/auto/seminuevo/mercedes-benz-glb-200-2025-1868432,https://cdn.neoauto.com/elements/autos_usados/360x240/114188/114188_5326074.webp,Mercedes-Benz,Mercedes Benz Glb 200 2025,2025,"US$49,900","11,025 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/bmw-m240i-2023-1824319,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_5009566.webp,BMW,Bmw M240i 2023,2023,"US$58,000","10,216 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/bmw-x4-2019-1868119,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_8597275.webp,BMW,Bmw X4 2019,2019,"US$42,900","70,932 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/ram-1500-2026-1868464,https://cdn.neoauto.com/elements/autos_usados/360x240/747531/747531_5794918.webp,RAM,Ram 1500 2026,2026,"US$160,000",,Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/volvo-xc-60-2024-1868940,https://cdn.neoauto.com/elements/autos_usados/360x240/518808/518808_4333113.webp,Volvo,Volvo Xc-60 2024,2024,"US$51,990","13,900 km",Automática,Gasolina-Híbrido
https://neoauto.com/auto/seminuevo/jeep-compass-2022-1861925,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_5548592.webp,Jeep,Jeep Compass 2022,2022,"US$24,900","47,224 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/bmw-x4-m40i-2022-1866872,https://cdn.neoauto.com/elements/autos_usados/360x240/714661/714661_3760205.webp,BMW,Bmw X4 M40i 2022,2022,"US$64,900","46,000 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/changan-unit-t-2024-1867352,https://cdn.neoauto.com/elements/autos_usados/360x240/337014/337014_3177526.webp,Changan,Changan Unit-T 2024,2024,"US$20,990","30,200 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/volvo-s60-2016-1868906,https://cdn.neoauto.com/elements/autos_usados/360x240/490916/490916_6712784.webp,Volvo,Volvo S60 2016,2016,"US$13,900","58,000 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/audi-q7-2017-1864789,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_5284644.webp,Audi,Audi Q7 2017,2017,"US$29,900","115,504 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/jeep-grand-cherokee-laredo-2013-1827707,https://cdn.neoauto.com/elements/autos_usados/360x240/113873/113873_6179286.webp,Jeep,Jeep Grand Cherokee Laredo 2013,2013,"US$16,900","164,333 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/subaru-forester-2017-1865852,https://cdn.neoauto.com/elements/autos_usados/360x240/114188/114188_2657954.webp,Subaru,Subaru Forester 2017,2017,"US$18,900","92,887 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/mercedes-benz-ml-350-2013-1839983,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_2199250.webp,Mercedes-Benz,Mercedes Benz Ml 350 2013,2013,"US$20,500","88,548 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/dodge-durango-2013-1867400,https://cdn.neoauto.com/elements/autos_usados/360x240/113873/113873_2172681.webp,Dodge,Dodge Durango 2013,2013,"US$22,500","78,925 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/chevrolet-traverse-2023-1866541,https://cdn.neoauto.com/elements/autos_usados/360x240/650434/650434_9445254.webp,Chevrolet,Chevrolet Traverse 2023,2023,"US$34,000","56,667 km",Automática - Secuencial,Gasolina
